file,RT-5.p,RT-4.p,RT-3.p,RT-2.p,RT-1.p,CONTROL-5.p,CONTROL-4.p,CONTROL-3.p,CONTROL-2.p,CONTROL-1.p,RT+9H10-5.p,RT+9H10-4.p,RT+9H10-3.p,RT+9H10-2.p,RT+9H10-1.p,9H10-5.p,9H10-4.p,9H10-3.p,9H10-2.p,9H10-1.p
RT-5.p,0.08212000093111876,0.0003506459447702642,1.5289517062235183e-05,0.0006873640199655918,1.8957875598179204e-11,1.298151243237501e-12,1.959846460199128e-17,3.4546972343310377e-15,2.8370175980235324e-17,1.9689737655408397e-17,1.9157491233709047e-17,1.919998535954581e-17,6.57139598225929e-16,1.6331411779013205e-17,1.335757214729147e-12,6.984443947454512e-17,1.5167807467457288e-12,2.494648522712425e-17,5.725344853572822e-17,2.702950727192928e-17
RT-4.p,0.0038116545535884978,2.4631891968481594,9.038360291218877e-14,8.750238181818416e-07,3.1747023221307844e-16,2.6150154984996544e-16,3.2875854632241137e-16,3.6658602825370185e-16,1.8011310043312328e-16,2.425063510691084e-16,8.078022183227888e-16,1.7668941900110752e-16,9.938824785306734e-07,3.1692659866807613e-16,4.794577656671897e-16,2.0905392938170038e-16,2.483352467413689e-16,1.968445110196294e-16,3.911887503845037e-16,2.404803595231712e-16
RT-3.p,0.00010592675259351057,9.698766716547408e-14,1.7464911745266398,4.0660972760618183e-16,6.639825291307607e-14,1.5345357174841367e-16,2.7165543091389373e-16,2.0876673455893617e-16,0.0006308091004492246,2.617706617410094e-16,3.556020616738129e-10,2.0825224410175216e-16,2.3306654710680262e-16,2.3283520383441475e-16,4.2212215971098084e-16,5.550307669473244e-16,1.3569230475212153e-16,1.8305667603302848e-16,1.8570409275368758e-16,3.255094346156293e-16
RT-2.p,0.08079888191423484,1.1889635189074143e-06,3.990548669445721e-15,807.4368427442596,3.4961530906958803e-15,1.251417102009194e-15,1.6931549712276121e-15,2.208207870020402e-15,3.684393550009185e-15,8.379689755540409e-09,2.8559846923348475e-15,2.2071389872398187e-15,6.472353854985116e-15,2.7229520611682034e-15,8.037274882549813e-15,2.6222310444704773e-15,2.2103162072120203e-15,5.428536487074173e-15,2.7866848698018863e-15,7.649400303185712e-15
RT-1.p,1.5200787278304767e-11,4.673993796450083e-18,3.9820526889147063e-13,1.9394703513643853e-18,0.0014576774387806007,1.2215501192850812e-14,2.2672668866894657e-18,3.3034264733105205e-18,3.877132585364074e-12,1.5880720610943651e-18,2.7514770852783953e-18,5.2944409018752446e-18,4.801999542876563e-18,1.4261382928282377e-12,6.334604829648623e-18,3.2988081001117335e-13,1.1241179155399005e-11,4.496897108608295e-17,5.296028490375131e-16,7.926198480823209e-18
CONTROL-5.p,1.4086447369021052e-12,1.425044525647707e-18,9.165989398795878e-16,5.378225781811129e-19,2.3278905414273284e-14,6.8368046490283135e-06,2.9583397012671605e-16,6.427571119329216e-19,1.8324322597392322e-16,6.325246072967799e-19,1.136537962379164e-18,4.273173448931738e-18,6.915319555293305e-13,4.3869383028676646e-15,5.42555465321012e-16,1.0385526720038012e-14,2.5067240371845123e-15,3.3726914304947145e-17,6.979390858558204e-19,1.0546704099383672e-10
CONTROL-4.p,3.420279486280973e-17,5.409819244177605e-17,5.389584320944421e-16,2.4316568774285272e-17,2.817101812099409e-17,4.390391720605365e-17,0.02264815106739313,1.1764436977075793e-07,3.7049430926048553e-17,1.391161137711969e-17,2.9646276758513345e-17,3.7032717310291684e-17,5.1897337792745205e-17,4.164458185145925e-05,3.467929625229564e-17,3.099327930950837e-17,3.0959711469799745e-17,3.006334708974995e-17,3.409665622828259e-17,1.0283030584805338e-16
CONTROL-3.p,3.2569281573530117e-15,7.395178815298254e-16,2.983632190761061e-17,1.3558284410420841e-15,2.937055038701646e-17,1.611689794108496e-17,1.1542318550695291e-07,0.023849276822245816,2.6256467734883204e-17,1.4646454283125505e-15,1.4890764059001163e-17,2.351253290108922e-17,1.8106297537651497e-14,7.563255884334855e-08,2.1116162869883174e-17,3.246141207689467e-17,3.576626680639038e-16,3.2773553713528226e-17,9.557959020471773e-16,2.5807862713462784e-17
CONTROL-2.p,4.92819552796928e-16,2.6390604328881195e-16,0.0009377926051568434,1.3677784661891528e-16,2.793958609360099e-12,2.367328603607993e-16,3.2566786817423667e-16,3.1646008552103257e-16,2.9054461373162486,0.0003143268313389937,3.2602781846801096e-13,3.5542213374440833e-16,6.6398246358197556e-12,2.1007238531437677e-14,4.848504074826071e-16,1.6473502909603724e-08,8.186474229550565e-15,0.0006733439828084838,3.268349942592343e-16,1.4830845086733385e-08
CONTROL-1.p,8.725632827531848e-19,4.3257200273616362e-19,1.1036148084247871e-16,1.154006736318673e-09,2.1427033767101355e-18,5.078490830511236e-19,6.219499961373064e-19,1.210922080185008e-14,4.0365860121756106e-07,3.2096624211627624e-06,1.3781561523108239e-11,8.403953251761985e-16,1.7678072035075056e-12,2.919203122366949e-13,8.270647998879272e-18,1.9030962198869284e-09,5.713945152626189e-19,5.470770980904572e-18,6.49289255934316e-15,1.7133285092324884e-09
RT+9H10-5.p,6.964284988593351e-14,2.1922306327986754e-14,2.7908127578172143e-10,3.0894068747701394e-14,8.185374351191457e-14,5.822821435113146e-14,1.2681398694942512e-14,3.302815432302187e-14,9.003386170340632e-14,2.470984174732211e-12,290768.12355268357,0.06286073921473095,3.081325022180472e-07,9.673063742334704e-06,1.4279697568796273e-14,3.596169731834124e-14,1.3984454251860996e-14,4.9070222367604137e-14,3.9286029773154354e-14,2.2800468134519246e-14
RT+9H10-4.p,3.693996344828735e-17,8.443734225450202e-17,7.60288661407214e-17,3.075768010780771e-17,5.5147840915354493e-17,3.3238504301278153e-17,5.811230245311614e-17,8.147214781678375e-17,4.692730512343389e-17,4.484190045530693e-17,7.6207086246359e-05,0.13531500028914478,2.39664002163224e-15,3.4110996529038926e-13,7.820057841022665e-14,7.409972731117253e-17,3.638201141227541e-17,4.891392762419326e-17,6.684982019783553e-17,5.6878214204978164e-05
RT+9H10-3.p,2.534842876896269e-16,8.422407618962011e-07,1.397814963648528e-16,2.0637662771937446e-16,1.3690415325516267e-16,1.1946531927737444e-13,1.2824335359768408e-16,6.4108912914731434e-15,8.316513415132032e-12,1.1351251694720423e-12,4.835010284897648e-08,1.0378373271100177e-15,1.4225573850823048,1.7121797014200206e-16,2.509984791545434e-16,2.0172312273084834e-16,1.467349762583074e-16,2.802980430471903e-16,1.3353632146511416e-08,5.877075373290345e-09
RT+9H10-2.p,1.0176982275894892e-15,6.393490060795394e-16,5.544456835453335e-16,1.5247380823960293e-15,4.928354740740316e-13,7.688029364492389e-16,0.0016211149025721519,5.215501708491012e-07,1.091066186882854e-14,3.152286466705649e-14,4.161082576024522e-06,7.114400886514705e-14,1.0204046746129295e-15,134.3639577345155,0.001715258969151891,2.4632270365393364e-15,1.7394635166347606e-15,7.760671641488901e-16,2.1124524756463384e-15,4.363635978559812e-14
RT+9H10-1.p,3.8731031960291644e-13,2.58001864263129e-15,1.4338984592672793e-15,1.868316018901535e-15,1.2031194015434464e-15,9.163333139625484e-16,2.597808512657683e-15,7.310050868130217e-16,3.799412754268602e-15,6.849117424074334e-15,8.556644531568008e-16,1.1404806138786011e-14,1.3290657079800584e-15,0.0025556224798376063,466.81136361861843,1.642724889625319e-15,6.813648640148377e-16,7.158319767169837e-16,3.558065231964683e-15,7.574633752230649e-16
9H10-5.p,1.7842692462386218e-16,4.890390772339155e-16,8.990880504097643e-16,1.766714575478523e-16,1.0674662358658764e-13,5.583149331354541e-16,6.23831560488984e-16,1.919438298620414e-16,1.54022656425623e-08,4.566158108232269e-08,1.3827849012604654e-16,1.489123653144979e-15,2.000471973924349e-16,5.634602406231516e-15,2.6483024329739974e-16,12.209048497666728,2.9370321188495477e-16,1.4717187044707224e-16,0.00040395124730486696,0.0011623497322609364
9H10-4.p,1.6772662058238049e-12,5.1589085248492894e-17,8.337776185921521e-17,1.770785529071118e-17,1.121957917137519e-11,6.212308844813983e-16,1.5866039364813566e-17,5.418447317091281e-16,4.093452694969044e-14,1.2170057987866464e-17,1.4287121604511673e-17,1.8377675177413593e-17,3.977470407666461e-16,7.525066098933565e-16,1.878500017756522e-17,3.2561168288060273e-16,0.0026146473594364527,1.1424700408947783e-11,3.8450271889626695e-14,4.494129057059368e-16
9H10-3.p,8.219211568094083e-18,1.2332667609650236e-17,6.820351334759326e-17,1.7643901085817063e-17,2.9698692367363407e-17,1.6864567177002078e-17,1.076524446431671e-17,3.669262410839666e-17,2.532171526780641e-05,7.851999329035524e-18,5.964767308734503e-15,1.5781871528476266e-17,1.869937900908344e-17,1.5535217748072608e-17,1.5872718572648794e-17,2.3772723239519497e-17,1.1433220302842555e-11,0.002514012330828421,1.0801486030578891e-17,1.0035024662494361e-17
9H10-2.p,1.1383997558192343e-16,1.878834091150116e-16,9.579275647766815e-17,1.0967867166072964e-15,1.4660622304758703e-16,1.2534837746786238e-16,1.9581942500445144e-16,4.26652053280923e-16,1.230247533773567e-16,4.908498901878008e-16,2.416422289946295e-16,2.848353637450698e-16,1.3300878417858434e-08,2.605701414720102e-16,7.456744863599025e-15,0.0002679336142199411,1.0744609327367767e-14,2.8402327287388445e-16,3.537377525899379,3.079234815035406e-10
9H10-1.p,3.684826046008444e-16,3.548062224501625e-16,2.6639886156870736e-16,2.898259693565486e-16,7.080369551210626e-16,3.2302239056756267e-10,8.557688719112481e-16,2.320107360864606e-16,1.6653266212541252e-08,4.937029938714583e-08,3.141591259684901e-16,0.0006461220442083299,7.2030238024201e-09,7.175287340677889e-14,3.7372702453126107e-16,0.001927121658930747,1.3338187639519603e-15,4.457744652597511e-16,3.277639675111127e-10,25.00896266877731
